Company,Company Description,Market Cap,Stock Price,PE Ratio,EPS,Market Cap Real
41) United Parcel Service (UPS),"United Parcel Service, Inc. provides letter and package delivery, specialized transportation, logistics, and financial services. It operates through three segments: U.S. Domestic Package, Internationa...See Company Profile ...Dividend History ...List of ETFs holding UPS",$144.15,$166.96,20.87,5.03,"$144,150,000,000"
42) Amgen (AMGN),"Amgen Inc., incorporated on October 31, 1986, is a biotechnology company. The Company discovers, develops, manufactures and delivers various human therapeutics. The Company operates in the human therapeutics segment. The ...See Company Profile ...Dividend History ...List of ETFs holding AMGN",$143.74,$245.41,14.56,12.24,"$143,740,000,000"
43) T-Mobile US (TMUS),"T-Mobile US, Inc., together with its subsidiaries, provides mobile communications services in the United States, Puerto Rico, and the United States Virgin Islands. The company offers voice, messaging,...See Company Profile ...Dividend History ...List of ETFs holding TMUS",$142.62,$113.41,63.36,2.8,"$142,620,000,000"
44) Accenture (ACN),"Accenture plc provides consulting, technology, and outsourcing services in Ireland and internationally. Its Communications, Media & Technology segment provides professional services that help clients ...See Company Profile ...Dividend History ...List of ETFs holding ACN",$141.42,$222.40,25.1,7.89,"$141,420,000,000"
45) Exxon Mobil (XOM),"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada Other Americas, Europe, Africa, Asia, and Australia Oceania. It operates through Upst...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding XOM",$139.45,$32.98,22.44,1.68,"$139,450,000,000"
46) Eli Lilly (LLY),"Eli Lilly and Company, incorporated on January 17, 1901, is engaged in drug manufacturing business. The Company discovers, develops, manufactures and markets products in two segments: human pharmaceutical products and ...See Company Profile ...Dividend History ...List of ETFs holding LLY",$138.89,$145.21,18.06,6.15,"$138,890,000,000"
47) NextEra Energy (NEE),"NextEra Energy, Inc., through its subsidiaries, generates, transmits, distributes, and sells electric power to retail and wholesale customers in North America. The company generates electricity throug...See Company Profile ...Dividend History ...List of ETFs holding NEE",$137.67,$281.17,28.29,7.24,"$137,670,000,000"
48) Medtronic (MDT),"Medtronic Public Limited Company (Medtronic), incorporated on June 12, 2014, is a medical technology, services and solutions company. The Company operates in four segments: Cardiac and Vascular Group, Minimally Invasive ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding MDT",$137.06,$101.96,17.67,3.26,"$137,060,000,000"
49) Union Pacific (UNP),"Union Pacific Corporation, incorporated on February 3, 1969, is a railroad operating company in the United States. The Company operates through its principal operating company, Union Pacific Railroad Company (UPRR). ...See Company Profile ...Dividend History ...List of ETFs holding UNP",$133.29,$196.35,21.27,8.06,"$133,290,000,000"
50) Chevron (CVX),"Chevron Corporation (Chevron), incorporated on January 27, 1926, manages its investments in subsidiaries and affiliates, and provides administrative, financial, management and technology support to the United States and international subsidiaries ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding CVX",$132.93,$71.19,25.33,-4.66,"$132,930,000,000"
51) Bristol-Myers Squibb (BMY),"Bristol-Myers Squibb Company, incorporated on August 11, 1933, is engaged in the discovery, development, licensing, manufacturing, marketing, distribution and sale of biopharmaceutical products. The Companys pharmaceutical products include chemically synthesized ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding BMY",$132.35,$58.72,7.89,-0.28,"$132,350,000,000"
52) Qualcomm (QCOM),"QUALCOMM Incorporated, incorporated on August 15, 1991, is engaged in the development and commercialization of a digital communication technology called code division multiple access (CDMA). The Company is engaged in ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding QCOM",$130.28,$115.47,17.99,2.36,"$130,280,000,000"
53) Texas Instruments (TXN),"Texas Instruments Incorporated, incorporated on December 23, 1938, designs, makes and sells semiconductors to electronics designers and manufacturers across the world. The Company operates through two segments: Analog and Embedded ...See Company Profile ...Dividend History ...List of ETFs holding TXN",$129.23,$141.09,25.89,5.33,"$129,230,000,000"
54) Charter Communications (CHTR),"Charter Communications, Inc., through its subsidiaries, provides cable services to residential and commercial customers in the United States. It offers subscription-based video services, including vid...See Company Profile ...Dividend History ...List of ETFs holding CHTR",$127.09,$620.23,31.89,10.45,"$127,090,000,000"
55) Lowe's (LOW),"Lowes Companies, Inc. (Lowes), incorporated on August 1, 1952, is a home improvement retailer. The Company operates approximately 1,860 home improvement and hardware stores, representing approximately 200 million square feet ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding LOW",$125.82,$166.49,19.47,7.5,"$125,820,000,000"
56) Linde (LIN),"Linde plc, incorporated on April 18, 2017, is an industrial gases and engineering company that operates through its subsidiaries. The Company provides atmospheric gases (oxygen, nitrogen, argon and rare gases) and process gases (carbon dioxide, helium, hydrogen, electronic gases, specialty gases and acetylene). ...List of ETFs holding LIN",$121.96,$232.15,26.2,4.23,"$121,960,000,000"
57) Honeywell International (HON),"Honeywell International Inc., incorporated on November 24, 1999, is a technology and manufacturing company. The Company operates through four segments: Aerospace, Home and Building Technologies, Performance Materials and Technologies, and ...See Company Profile ...Dividend History ...List of ETFs holding HON",$116.22,$165.61,21.18,8.14,"$116,220,000,000"
58) Philip Morris International (PM),"Philip Morris International Inc., incorporated on January 4, 2007, is a holding company. The Company is engaged in the manufacture and sale of cigarettes, other tobacco products and other nicotine-containing ...See Company Profile ...Dividend History ...List of ETFs holding PM",$115.96,$74.46,13.2,4.67,"$115,960,000,000"
59) American Tower REIT (AMT),"American Tower Corporation (ATC), incorporated on September 24, 1996, is a holding company. The Company operates as a real estate investment trust (REIT), which owns, operates and develops multitenant communications ...See Company Profile ...Dividend History ...List of ETFs holding AMT",$107.92,$243.30,47.99,4.31,"$107,920,000,000"
60) IBM (IBM),"International Business Machines Corporation (IBM), incorporated on June 16, 1911, is a technology company. The Company operates through five segments: Cognitive Solutions, Global Business Services (GBS), Technology Services & Cloud ...See Company Profile ...Dividend History ...List of ETFs holding IBM",$107.38,$120.57,9.87,8.81,"$107,380,000,000"
61) Lockheed Martin (LMT),"Lockheed Martin Corporation, incorporated on August 29, 1994, is a security and aerospace company. The Company is engaged in the research, design, development, manufacture, integration and sustainment of technology systems, ...See Company Profile ...Dividend History ...List of ETFs holding LMT",$106.39,$380.58,14.28,22.82,"$106,390,000,000"
62) Starbucks (SBUX),"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates in four segments: Americas; China Asia Pac...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding SBUX",$101.20,$86.57,32.06,1.13,"$101,200,000,000"
63) Wells Fargo (WFC),"Wells Fargo & Company, incorporated on January 24, 1929, is a bank holding company. The Company is a diversified financial services company. The Company has three operating segments: Community Banking, ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding WFC",$98.84,$23.99,11.82,0.93,"$98,840,000,000"
64) Advanced Micro Devices (AMD),"Advanced Micro Devices, Inc. (AMD), incorporated on May 1, 1969, is a global semiconductor company. The Company is engaged in offering x86 microprocessors, as standalone devices or as incorporated into ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding AMD",$96.04,$81.80,49.28,0.51,"$96,040,000,000"
65) Boeing (BA),"The Boeing Company, incorporated on July 19, 1934, is an aerospace company. The Company is engaged in the design, development, manufacture, sale, service and support of commercial jetliners, military aircraft, ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding BA",$94.87,$168.08,39.64,-5.03,"$94,870,000,000"
66) ServiceNow (NOW),"ServiceNow, Inc., incorporated on February 16, 2012, is provider of enterprise cloud computing solutions that define, structure, manage and automate services for global enterprises. The Company offers a set of ...See Company Profile ...Dividend History ...List of ETFs holding NOW",$94.59,$493.15,89.66,3.55,"$94,590,000,000"
67) 3M (MMM),"3M Company operates as a technology company worldwide. The company's Industrial segment offers tapes, abrasives, adhesives, ceramics, sealants, specialty materials, purification products, closure syst...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding MMM",$92.37,$160.36,17.6,8.81,"$92,370,000,000"
68) Citigroup (C),"Citigroup Inc. (Citi), incorporated on March 8, 1988, is a financial services holding company. The Companys whose businesses provide consumers, corporations, governments and institutions with a range of financial products ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding C",$90.89,$43.66,7.36,5.86,"$90,890,000,000"
69) Raytheon Technologies (RTX),"Raytheon Technologies Corporation, an aerospace and defense company, provides advanced systems and services for commercial, military, and government customers worldwide. It operates in four businesses: Collins Aerospace Systems, Pratt & Whitney, Raytheon Intelligence & Space, and Raytheon Missiles & Defense. The Collins Aerospace Systems business offers...See Company Profile ...Dividend History ...List of ETFs holding RTX",$90.65,$59.34,0,0,"$90,650,000,000"
70) Fidelity National Information (FIS),"Fidelity National Information Services, Inc. (FIS), incorporated on March 2, 2001, is a financial services technology company. The Company focuses on retail and institutional banking, payments, asset and wealth management, ...See Company Profile ...Dividend History ...List of ETFs holding FIS",$89.94,$145.15,21.63,0.05,"$89,940,000,000"
71) S&P Global (SPGI),"S&P Global Inc. provides independent ratings, benchmarks, analytics, and data to the capital and commodity markets worldwide. It operates through three segments: Ratings, Market and Commodities Intell...See Company Profile ...Dividend History ...List of ETFs holding SPGI",$87.48,$362.98,31.32,10.6,"$87,480,000,000"
72) BlackRock (BLK),"BlackRock, Inc. (BlackRock), incorporated on February 13, 2006, is an investment management company. BlackRock provides a range of investment and risk management services to institutional and retail clients worldwide. Its ...See Company Profile ...Dividend History ...List of ETFs holding BLK",$86.93,$570.12,17.35,28.42,"$86,930,000,000"
73) Intuit (INTU),"Intuit Inc., incorporated on February 1, 1993, is a provider of business and financial management solutions for small businesses, consumers and accounting professionals. The Company operates through three segments: Small ...See Company Profile ...Dividend History ...List of ETFs holding INTU",$84.27,$321.89,33.71,6.92,"$84,270,000,000"
